filename,biomarker,intra channel correction,inter channel correction,channel 1,channel 2,channel 3,xmin,ymin,xmax,ymax
R1C1.tif,DAPI,Yes,No,,,,34000,8000,44000,15000
R1C10.tif,NFH,No,Yes,R1C7.tif,,,34000,8000,44000,15000
R1C11.tif,Brightfield,No,No,,,,34000,8000,44000,15000
R1C2.tif,DAPI,Yes,No,,,,34000,8000,44000,15000
R1C3.tif,CC3,Yes,No,,,,34000,8000,44000,15000
R1C4.tif,NeuN,Yes,No,,,,34000,8000,44000,15000
R1C5.tif,MBP,No,Yes,R1C6.tif,,,34000,8000,44000,15000
R1C6.tif,RECA1,Yes,Yes,R1C5.tif,R1C8.tif,,22000,24000,32000,31000
R1C7.tif,IBA1,Yes,Yes,R1C10.tif,R1C5.tif,R1C8.tif,34000,8000,44000,15000
R1C8.tif,TomatoLectin,Yes,Yes,R1C7.tif,,,34000,8000,44000,15000
R1C9.tif,PCNA,Yes,No,,,,34000,8000,44000,15000
R2C1.tif,DAPI,Yes,No,,,,34000,8000,44000,15000
R2C10.tif,MAP2,No,Yes,R2C8.tif,,,34000,8000,44000,15000
R2C11.tif,Brightfield,No,No,,,,34000,8000,44000,15000
R2C2.tif,DAPI,Yes,No,,,,34000,8000,44000,15000
R2C3.tif,GAD67,Yes,Yes,R2C8.tif,R2C6.tif,,34000,16000,44000,23000
R2C4.tif,GFAP,Yes,No,,,,34000,8000,44000,15000
R2C5.tif,Parvalbumin,Yes,Yes,R1C5.tif,R2C6.tif,,31000,12000,41000,19000
R2C6.tif,S100,Yes,Yes,R2C3.tif,,,34000,8000,44000,15000
R2C7.tif,Calretinin,Yes,Yes,R2C6.tif,R2C8.tif,,18000,1000,28000,17000
R2C8.tif,TomatoLectin,Yes,No,,,,34000,8000,44000,15000
R2C9.tif,CD31,Yes,No,,,,34000,8000,44000,15000
